nation,missiles_used,others_cured,hordes_used,others_zombified,tzes_used,others_killed,hit_by_missiles,cured_by_others,hit_by_hordes,zombified_by_others,hit_by_tzes,killed_by_others,min_time
ecologist_hegemony,0,0,0,0,1,1,33,762,0,0,0,0,20
ecotate,0,0,0,0,0,0,14,975,0,0,0,0,0
ecotopia,0,0,0,0,0,0,118,6948,0,0,0,0,0
effazio,0,0,0,0,0,0,117,26141,0,0,0,0,0
egg_stream_force,0,0,0,0,0,0,7,15,0,0,0,0,0
einswenn,151,30837,0,0,0,0,292,11107,0,0,0,0,3020
elbing,0,0,0,0,0,0,62,8094,0,0,0,0,0
elderflower_island,1012,312576,0,0,0,0,276,24668,2,375,0,0,20240
elitos,0,0,0,0,0,0,62,8040,0,0,0,0,0
erhnam_djinn,0,0,0,0,0,0,134,39399,0,0,0,0,0
errinundera_news_network,225,647,0,0,0,0,86,105,0,0,0,0,4500
eryndlynd,0,0,0,0,0,0,163,11425,0,0,0,0,0
esterild,0,0,0,0,0,0,164,57600,0,0,0,0,0
eubatu,19,1930,0,0,1,11,116,21402,0,0,0,0,400
excleria,0,0,0,0,0,0,96,15799,0,0,0,0,0
ezhara,29,626,0,0,0,0,55,6636,0,0,0,0,580
fad,0,0,0,0,0,0,208,8834,0,0,0,0,0
fan_4rt-,0,0,0,0,0,0,13,800,0,0,0,0,0
far_away_enough,78,165,12,133,0,0,38,91,0,0,0,0,1800
fartsniffage,3,1445,0,0,0,0,378,82959,8,717,0,0,60
fauthur,0,0,18,735,0,0,0,0,0,0,0,0,360
first_and_only_archive,0,0,0,0,0,0,50,7913,0,0,1,145,0
first_nightmare,0,0,4,2586,0,0,0,0,0,0,0,0,80
floresarosa,0,0,0,0,0,0,21,2979,0,0,0,0,0
foraldn,4,514,0,0,0,0,0,0,0,0,0,0,80
forest,34339,4101097,487,89528,100,2417,34339,4101097,487,89528,100,2417,698520
forest_finns,0,0,0,0,0,0,6,56,0,0,0,0,0
forest_of_fangorn,0,0,0,0,0,0,49,4126,0,0,0,0,0
forest_virginia,0,0,0,0,0,0,18,385,0,0,0,0,0
forgotten_beauty,0,0,0,0,0,0,49,7444,0,0,0,0,0
forniphiliac_limbo_of_inabilis,0,0,0,0,0,0,108,7760,0,0,0,0,0
free_bears_in_the_wood,0,0,0,0,0,0,193,57996,0,0,0,0,0
freudian_psychology,0,0,0,0,0,0,0,0,1,500,0,0,0
frieden-und_freudenland,0,0,0,0,0,0,91,17045,0,0,0,0,0
frieslanb,0,0,0,0,0,0,20,364,0,0,0,0,0
frosteinne,173,8855,0,0,0,0,61,1273,0,0,0,0,3460
fulvous_haven,576,48726,0,0,0,0,234,5174,0,0,0,0,11520
furilisca,14,633,0,0,0,0,243,2506,0,0,1,8,280
furstenbourg,0,0,0,0,0,0,5,5,0,0,0,0,0
fyromia,0,0,39,729,23,220,1,1,1,52,6,33,1240
gabsgaub,2,2,0,0,0,0,0,0,0,0,0,0,40
galaxiak,0,0,0,0,0,0,93,1852,0,0,0,0,0
gandenia,0,0,0,0,0,0,119,4830,0,0,0,0,0
garbelia,530,113531,0,0,0,0,197,14172,0,0,0,0,10600
gaw,0,0,0,0,0,0,87,4817,0,0,0,0,0
giovanniland,0,0,26,7555,0,0,0,0,0,0,0,0,520
girelna,0,0,0,0,0,0,45,3290,0,0,0,0,0
glorious_existence,0,0,2,592,0,0,1,882,0,0,0,0,40
go_b1g,0,0,0,0,0,0,0,0,2,1155,0,0,0
