nation,missiles_used,others_cured,hordes_used,others_zombified,tzes_used,others_killed,hit_by_missiles,cured_by_others,hit_by_hordes,zombified_by_others,hit_by_tzes,killed_by_others,min_time
tall_oaks,0,0,0,0,0,0,27,1652,0,0,0,0,0
task_force_z,44,9666,0,0,0,0,159,11070,0,0,0,0,880
tathel,0,0,0,0,0,0,19,728,0,0,0,0,0
taurgur,0,0,0,0,0,0,44,7638,0,0,0,0,0
tayami,0,0,0,0,0,0,26,1076,0,0,0,0,0
teocracia_ambiental_de_florest_heath,0,0,0,0,0,0,49,103,0,0,0,0,0
teraticus,0,0,0,0,0,0,373,104944,3,9,0,0,0
terrabod,0,0,0,0,0,0,49,3180,0,0,0,0,0
terrawynn,82,83,0,0,0,0,17,17,7,8,0,0,1640
texas_jaguarundi,0,0,0,0,0,0,43,78,0,0,0,0,0
texian_nature_reserve,0,0,0,0,0,0,39,4378,0,0,0,0,0
that_card,0,0,0,0,0,0,65,2314,0,0,0,0,0
the_adeptorum,0,0,0,0,0,0,14,818,0,0,0,0,0
the_bats,0,0,0,0,0,0,68,11291,0,0,0,0,0
the_beornings,0,0,0,0,0,0,12,248,0,0,0,0,0
the_best_nation_in_the_world,0,0,0,0,0,0,56,6734,0,0,0,0,0
the_black_forrest,0,0,0,0,0,0,489,125764,11,895,0,0,0
the_bohin,0,0,0,0,0,0,43,6667,0,0,0,0,0
the_cypher_nine,0,0,0,0,0,0,51,6274,0,0,0,0,0
the_democratic_republic_of_the_empire,0,0,0,0,1,5,123,1399,0,0,0,0,20
the_denarien_empire,0,0,0,0,0,0,0,0,1,173,0,0,0
the_eco-fascists,0,0,0,0,0,0,12,58,0,0,0,0,0
the_environmental_green_nation,0,0,0,0,0,0,17,739,0,0,0,0,0
the_forest_army,0,0,0,0,0,0,24,592,0,0,0,0,0
the_holy_principality_of_saint_mark,0,0,3,131,0,0,0,0,0,0,0,0,60
the_lord_your_god,0,0,0,0,0,0,31,49,0,0,0,0,0
the_moths,0,0,0,0,0,0,136,16229,1,15,0,0,0
the_new_fandom_republic,0,0,0,0,0,0,0,0,1,1464,0,0,0
the_peoples_collective_republic,0,0,0,0,0,0,36,4405,0,0,0,0,0
the_pug_islands,0,0,0,0,0,0,93,2687,0,0,0,0,0
the_teeth,0,0,0,0,0,0,19,1671,0,0,0,0,0
the_united_republic_of_westend,34,950,0,0,0,0,52,7811,0,0,0,0,680
the_van_guard_artillery_division,0,0,0,0,0,0,0,0,0,0,1,1,0
the_victonian_league,26,13661,1,737,0,0,117,28939,0,0,0,0,540
the_void_territories,0,0,0,0,0,0,37,6800,0,0,0,0,0
the_warriors_of_determination,0,0,9,305,0,0,0,0,0,0,0,0,180
theennerla_island,0,0,0,0,0,0,33,4487,0,0,0,0,0
theist,0,0,0,0,0,0,31,4985,0,0,0,0,0
thembria,0,0,0,0,0,0,53,6615,0,0,0,0,0
tholz,0,0,0,0,0,0,21,978,0,0,0,0,0
thorvel,0,0,0,0,0,0,117,23506,0,0,2,25,0
thx1138,43,11434,0,0,0,0,44,4177,0,0,0,0,860
tomahawk_cove,0,0,0,0,0,0,41,66,0,0,0,0,0
top_guanaco,0,0,0,0,0,0,88,6088,0,0,0,0,0
toxic_love,0,0,0,0,0,0,26,1686,0,0,0,0,0
tra_xen_petyordia,0,0,0,0,0,0,38,5653,0,0,0,0,0
trebenia,1,2,0,0,0,0,37,44,0,0,0,0,20
trythia,0,0,0,0,0,0,10,11,0,0,0,0,0
tscharva,0,0,0,0,0,0,38,1516,0,0,0,0,0
tuji,13,64,0,0,0,0,170,607,0,0,0,0,260
turbeaux,0,0,0,0,0,0,61,6765,0,0,0,0,0
turiol_empire,0,0,0,0,0,0,101,1502,0,0,0,0,0
turtlesturtlesturtles,0,0,0,0,0,0,67,15463,0,0,0,0,0
uan_aa_boa,938,307939,0,0,0,0,243,43819,0,0,0,0,18760
uchila_eru,0,0,0,0,0,0,224,54170,1,1,0,0,0
uiiop,2,424,0,0,0,0,68,23913,0,0,0,0,40
uldrath,0,0,6,288,0,0,0,0,0,0,0,0,120
uncharted_wilderness,0,0,0,0,0,0,57,7713,0,0,0,0,0
union_x,0,0,0,0,0,0,38,692,0,0,0,0,0
united_malay_federation,24,529,0,0,0,0,147,3506,0,0,0,0,480
urkulta,0,0,0,0,0,0,9,99,0,0,0,0,0
utopian_archive,0,0,0,0,0,0,79,14431,0,0,0,0,0
uylensted,0,0,0,0,0,0,15,490,0,0,0,0,0
vala-kin,128,423,0,0,0,0,128,395,2,2,1,3,2560
valenverio,0,0,0,0,0,0,139,47653,0,0,0,0,0
vambasa,63,187,0,0,0,0,48,60,0,0,0,0,1260
velichye,21,148,0,0,0,0,107,783,0,0,0,0,420
velkia_and_the_islands,0,0,0,0,0,0,248,59009,0,0,0,0,0
verdant_haven,1101,78234,0,0,0,0,221,7415,1,467,0,0,22020
vesimaan_tasavalta,0,0,0,0,0,0,23,567,0,0,0,0,0
victoriaans_nederlands,0,0,0,0,0,0,136,10087,0,0,0,0,0
vidorilords_and_the_holy_lands_of_nurgim,0,0,0,0,0,0,15,242,0,0,0,0,0
vincente_pinzon,0,0,0,0,0,0,126,7970,0,0,0,0,0
violas,0,0,0,0,0,0,0,0,3,1274,0,0,0
violent_uprising,0,0,0,0,0,0,0,0,1,797,0,0,0
volksrealm,0,0,0,0,0,0,34,3946,0,0,0,0,0
vui_tara,0,0,0,0,0,0,17,17,0,0,0,0,0
vuoto_amore,0,0,0,0,0,0,85,16206,0,0,0,0,0
vur_elle_isle,0,0,0,0,0,0,93,1029,0,0,0,0,0
wabashenka,0,0,0,0,0,0,15,761,0,0,0,0,0
wainen,0,0,0,0,0,0,0,0,1,834,0,0,0
wantevolo,0,0,0,0,0,0,38,3853,0,0,0,0,0
weekens,0,0,0,0,0,0,9,3068,0,0,0,0,0
weenus,676,79189,0,0,0,0,210,9313,1,14,0,0,13520
west_deapol_laulandingedk,0,0,1,2,0,0,0,0,0,0,0,0,20
window_land,1026,176836,0,0,0,0,274,30760,0,0,0,0,20520
wizardonia,0,0,0,0,0,0,113,17762,0,0,0,0,0
woodbury,0,0,0,0,0,0,20,196,0,0,0,0,0
woodfall_swamp,0,0,0,0,0,0,177,49516,0,0,0,0,0
worsteni,0,0,0,0,0,0,24,1376,0,0,0,0,0
ya_fatha,0,0,0,0,0,0,0,0,1,444,0,0,0
yin_and_yog,0,0,0,0,0,0,33,5436,0,0,0,0,0
york_zionia,313,4222,0,0,0,0,56,3549,0,0,2,2,6260
ypogegrammeni,2145,265161,0,0,0,0,214,48194,0,0,0,0,42900
yuban,0,0,0,0,0,0,20,254,0,0,0,0,0
zarynceion,0,0,7,2393,0,0,1,257,0,0,0,0,140
zenphyirion,0,0,6,275,0,0,0,0,1,11,0,0,120
zerkyr_xiszczy,0,0,0,0,0,0,16,709,0,0,0,0,0
zerphen,502,13819,10,500,0,0,173,4209,0,0,1,5,10240
ziotah_and_riverside,1291,64264,1,365,0,0,244,19936,0,0,2,70,25840
zumelstein,0,0,0,0,0,0,21,1155,0,0,0,0,0
